               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.078841,             0.08411,                   0,              0.2999,             0.40206,             0.25995,            0.070773,            0.075407,             0.09728,                   0,           0.0032277,           0.0032277,            0.068228
                  39,            0.074959,             0.10261,                   0,             0.17287,             0.47423,             0.14949,            0.041679,            0.081582,            0.088592,                   0,           0.0032962,           0.0032962,            0.067396
                  40,            0.080789,            0.098221,                   0,             0.21484,             0.46392,             0.25663,            0.061059,            0.072479,            0.091252,                   0,           0.0033637,           0.0033637,            0.066564
                  41,             0.06789,            0.093765,                   0,             0.36862,             0.41237,             0.33154,             0.10268,            0.066717,            0.095527,                   0,           0.0034302,           0.0034302,             0.06573
                  42,            0.068496,             0.08582,                   0,             0.23111,              0.3299,             0.17973,            0.045354,            0.076851,            0.089971,                   0,           0.0034955,           0.0034955,            0.064895
                  43,              0.0818,            0.073652,                   0,             0.21279,             0.50515,             0.19845,            0.044673,            0.077086,            0.091917,                   0,           0.0035597,           0.0035597,             0.06406
                  44,            0.070786,            0.085399,                   0,             0.29842,             0.47423,             0.30446,             0.08647,            0.068832,            0.092664,                   0,           0.0036228,           0.0036228,            0.063223
                  45,            0.063149,            0.079586,                   0,             0.26012,              0.3299,             0.21582,            0.058839,             0.08092,            0.082613,                   0,           0.0036847,           0.0036847,            0.062385
                  46,            0.081805,            0.081274,                   0,             0.27723,             0.49485,              0.2235,            0.059145,            0.076373,            0.095234,                   0,           0.0037455,           0.0037455,            0.061545
                  47,            0.081371,             0.09711,                   0,             0.31821,             0.39175,              0.2761,            0.083328,            0.075858,            0.091394,                   0,            0.003805,            0.003805,            0.060705
                  48,            0.075013,            0.074538,                   0,             0.36627,             0.48454,             0.32461,            0.091223,            0.070708,              0.1009,                   0,           0.0038634,           0.0038634,            0.059863
                  49,            0.066532,            0.088104,                   0,             0.44677,             0.43292,             0.39379,             0.12695,            0.065088,             0.10064,                   0,           0.0039205,           0.0039205,             0.05902
                  50,            0.062859,            0.086775,                   0,             0.42932,             0.50515,             0.39251,             0.13458,            0.062947,            0.096534,                   0,           0.0039763,           0.0039763,            0.058176
                  51,            0.060865,            0.090199,                   0,             0.21284,             0.40141,             0.18846,             0.04422,            0.079787,            0.089168,                   0,            0.004031,            0.004031,            0.057331
                  52,            0.084778,            0.080838,                   0,             0.14833,              0.4433,             0.13614,            0.035295,            0.083996,            0.087076,                   0,           0.0040843,           0.0040843,            0.056484
                  53,            0.085219,            0.074898,                   0,             0.23037,             0.42268,             0.20831,            0.059409,            0.074604,            0.097065,                   0,           0.0041363,           0.0041363,            0.055636
                  54,            0.072974,             0.07586,                   0,             0.35938,              0.4916,              0.3014,            0.079582,            0.067872,             0.10467,                   0,           0.0041871,           0.0041871,            0.054787
                  55,            0.068028,            0.096751,                   0,             0.40878,             0.51546,             0.41332,             0.11316,            0.063155,             0.10396,                   0,           0.0042365,           0.0042365,            0.053937
                  56,            0.063357,            0.094716,                   0,             0.44377,             0.37113,             0.34739,              0.1134,            0.069836,            0.091373,                   0,           0.0042846,           0.0042846,            0.053085
