               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.080813,            0.088511,                   0,             0.21754,             0.29897,             0.18897,            0.041439,            0.081388,            0.086132,                   0,           0.0034888,           0.0034888,            0.068489
                  39,            0.075966,            0.092662,                   0,             0.20395,             0.28866,              0.1116,            0.022282,            0.085855,             0.08269,                   0,           0.0035779,           0.0035779,            0.067678
                  40,            0.080378,            0.084654,                   0,             0.25991,             0.40206,             0.21845,            0.065112,              0.0834,            0.088824,                   0,           0.0036669,           0.0036669,            0.066867
                  41,             0.07217,            0.092632,                   0,             0.30927,             0.45361,             0.29629,            0.067217,              0.0736,            0.092742,                   0,           0.0037559,           0.0037559,            0.066056
                  42,            0.071391,            0.089038,                   0,             0.18931,              0.3299,             0.14885,             0.04173,            0.090817,            0.084808,                   0,           0.0038449,           0.0038449,            0.065245
                  43,            0.084961,             0.09507,                   0,             0.26547,             0.35023,             0.18162,            0.044727,             0.07846,            0.090305,                   0,           0.0039338,           0.0039338,            0.064434
                  44,            0.077631,            0.081274,                   0,             0.52391,             0.32901,             0.32578,            0.091352,            0.076825,            0.092513,                   0,           0.0040227,           0.0040227,            0.063623
                  45,            0.069567,             0.10109,                   0,             0.26341,             0.45361,             0.28496,            0.068369,             0.07309,            0.093654,                   0,           0.0041115,           0.0041115,            0.062811
                  46,            0.079927,            0.084575,                   0,             0.18614,             0.34021,             0.15862,            0.037596,            0.093625,            0.081217,                   0,           0.0042002,           0.0042002,               0.062
                  47,            0.082678,            0.078213,                   0,              0.1397,              0.3299,             0.12657,            0.031154,            0.081056,             0.10107,                   0,           0.0042889,           0.0042889,            0.061189
                  48,            0.074113,            0.085923,                   0,             0.31555,             0.40206,             0.27022,            0.068251,            0.077603,            0.095013,                   0,           0.0043775,           0.0043775,            0.060378
                  49,            0.066507,            0.097984,                   0,             0.37063,             0.40206,             0.31738,             0.10049,            0.075972,            0.090812,                   0,           0.0044661,           0.0044661,            0.059566
                  50,            0.064125,            0.088468,                   0,             0.37461,             0.45361,             0.36041,            0.091443,            0.074662,            0.090688,                   0,           0.0045546,           0.0045546,            0.058755
                  51,            0.063876,            0.090959,                   0,             0.24268,              0.4433,             0.21217,            0.057963,            0.087573,            0.072822,                   0,           0.0046431,           0.0046431,            0.057943
                  52,             0.08273,            0.091835,                   0,             0.25512,             0.46392,             0.19613,            0.052617,            0.079094,            0.078689,                   0,           0.0047315,           0.0047315,            0.057131
                  53,            0.086848,            0.086467,                   0,             0.34355,             0.21582,             0.21305,            0.058064,            0.092151,            0.077768,                   0,           0.0048198,           0.0048198,             0.05632
                  54,            0.088087,            0.076212,                   0,             0.36566,             0.46353,              0.3486,            0.088929,            0.081538,            0.077164,                   0,           0.0049081,           0.0049081,            0.055508
                  55,            0.074358,            0.094077,                   0,             0.39115,             0.46392,             0.41412,             0.12187,            0.069525,            0.089192,                   0,           0.0049963,           0.0049963,            0.054696
                  56,            0.072059,             0.10177,                   0,             0.42219,             0.38144,             0.37834,            0.088884,            0.070317,            0.091021,                   0,           0.0050844,           0.0050844,            0.053884
                  57,            0.069172,            0.073251,                   0,             0.45709,             0.44266,             0.37952,            0.097145,            0.070918,            0.091082,                   0,           0.0051725,           0.0051725,            0.053073
                  58,            0.070341,            0.084099,                   0,             0.29432,             0.39175,             0.28088,            0.057598,            0.072687,            0.088337,                   0,           0.0052605,           0.0052605,            0.052261
                  59,            0.075312,             0.08106,                   0,             0.34702,             0.34021,             0.24876,             0.06088,            0.078421,            0.086677,                   0,           0.0053485,           0.0053485,            0.051448
                  60,            0.074891,            0.076334,                   0,             0.29573,             0.41237,             0.25396,            0.063177,            0.067711,             0.09575,                   0,           0.0054363,           0.0054363,            0.050636
                  61,            0.067729,            0.085673,                   0,              0.2975,             0.46278,             0.27142,            0.066897,            0.069161,            0.091241,                   0,           0.0055241,           0.0055241,            0.049824
                  62,            0.068128,            0.086438,                   0,              0.3592,             0.47423,             0.33806,            0.084778,            0.071379,            0.092907,                   0,           0.0056118,           0.0056118,            0.049012
                  63,             0.06973,            0.086585,                   0,             0.24044,             0.46392,             0.21701,            0.064784,            0.071451,            0.092451,                   0,           0.0056995,           0.0056995,            0.048199
                  64,            0.074676,            0.078542,                   0,             0.14272,             0.36082,              0.1337,            0.027119,             0.08154,            0.088426,                   0,           0.0057871,           0.0057871,            0.047387
                  65,            0.086173,            0.072637,                   0,             0.26368,             0.39175,             0.21585,            0.063869,            0.077498,            0.099034,                   0,           0.0058746,           0.0058746,            0.046575
                  66,            0.079399,             0.07646,                   0,             0.25883,             0.40206,             0.22427,            0.055983,            0.079469,            0.096226,                   0,            0.005962,            0.005962,            0.045762
                  67,            0.078708,            0.080561,                   0,             0.25883,             0.40206,             0.22427,            0.055983,            0.079469,            0.096226,                   0,           0.0060493,           0.0060493,            0.044949
                  68,            0.084959,            0.072404,                   0,             0.14073,             0.39175,             0.16997,            0.041754,            0.088444,            0.092034,                   0,           0.0061366,           0.0061366,            0.044137
                  69,            0.081189,            0.079153,                   0,             0.18735,             0.38144,             0.22733,             0.05846,            0.084899,            0.097037,                   0,           0.0062238,           0.0062238,            0.043324
                  70,            0.072835,            0.092919,                   0,             0.43789,             0.37113,             0.33731,             0.11406,            0.078705,             0.11177,                   0,           0.0063109,           0.0063109,            0.042511
                  71,            0.069087,            0.095284,                   0,             0.44743,             0.37113,             0.35655,            0.086669,            0.073029,            0.090714,                   0,           0.0063979,           0.0063979,            0.041698
                  72,            0.069851,            0.083604,                   0,             0.28113,             0.31851,             0.21416,            0.047976,            0.073549,             0.08871,                   0,           0.0064848,           0.0064848,            0.040885
                  73,            0.074749,             0.08444,                   0,             0.30146,             0.39175,             0.26231,            0.072964,            0.075587,            0.089432,                   0,           0.0065716,           0.0065716,            0.040072
                  74,            0.072454,             0.09624,                   0,             0.30146,             0.39175,             0.26231,            0.072964,            0.075587,            0.089432,                   0,           0.0066584,           0.0066584,            0.039258
                  75,            0.070865,            0.078247,                   0,             0.28793,              0.4433,             0.24961,            0.075771,            0.073528,            0.089493,                   0,           0.0067451,           0.0067451,            0.038445
                  76,            0.064501,            0.079691,                   0,             0.36169,             0.55497,             0.41991,             0.12699,            0.061001,            0.098197,                   0,           0.0068317,           0.0068317,            0.037632
                  77,            0.062465,            0.083353,                   0,             0.41117,             0.57732,             0.41064,             0.13539,             0.06197,            0.079788,                   0,           0.0069182,           0.0069182,            0.036818
                  78,            0.063191,             0.07997,                   0,             0.17684,             0.28866,             0.11727,            0.023477,            0.089241,            0.072515,                   0,           0.0070046,           0.0070046,            0.036005
                  79,            0.090758,             0.06411,                   0,             0.17684,             0.28866,             0.11727,            0.023477,            0.089241,            0.072515,                   0,           0.0070909,           0.0070909,            0.035191
                  80,            0.093003,            0.060647,                   0,             0.24707,             0.27835,             0.18482,            0.041805,            0.089129,            0.073401,                   0,           0.0071771,           0.0071771,            0.034377
                  81,            0.089085,            0.058056,                   0,             0.24349,             0.55415,             0.27418,            0.081669,            0.082888,            0.084967,                   0,           0.0072632,           0.0072632,            0.033563
                  82,            0.086817,            0.060594,                   0,             0.31896,             0.46352,             0.25577,            0.078431,            0.086511,            0.085205,                   0,           0.0073492,           0.0073492,            0.032749
                  83,            0.091576,            0.065977,                   0,             0.31896,             0.46352,             0.25577,            0.078431,            0.086511,            0.085205,                   0,           0.0074352,           0.0074352,            0.031935
                  84,            0.088341,            0.067237,                   0,             0.28515,             0.58763,             0.27279,            0.075152,             0.08491,            0.082875,                   0,            0.007521,            0.007521,            0.031121
                  85,            0.088794,            0.059953,                   0,             0.45996,             0.49485,             0.41274,             0.11207,            0.082571,            0.080989,                   0,           0.0076067,           0.0076067,            0.030307
                  86,            0.087632,            0.059667,                   0,             0.45996,             0.49485,             0.41274,             0.11207,            0.082571,            0.080989,                   0,           0.0076923,           0.0076923,            0.029492
                  87,            0.087812,            0.060159,                   0,             0.44938,             0.50515,             0.40378,            0.089786,            0.083359,            0.082263,                   0,           0.0077779,           0.0077779,            0.028678
                  88,            0.085949,            0.062564,                   0,             0.48045,             0.52577,             0.41299,             0.12893,            0.081648,            0.090599,                   0,           0.0078633,           0.0078633,            0.027863
                  89,            0.083449,            0.061545,                   0,             0.48045,             0.52577,             0.41299,             0.12893,            0.081648,            0.090599,                   0,           0.0079486,           0.0079486,            0.027049
                  90,            0.086679,            0.062732,                   0,             0.39557,             0.50515,              0.3845,             0.11155,            0.084476,            0.091869,                   0,           0.0080338,           0.0080338,            0.026234
                  91,            0.084282,            0.059585,                   0,             0.47822,             0.47423,             0.42677,             0.13913,            0.081733,            0.094091,                   0,            0.008119,            0.008119,            0.025419
                  92,            0.078524,            0.071091,                   0,             0.47822,             0.47423,             0.42677,             0.13913,            0.081733,            0.094091,                   0,            0.008204,            0.008204,            0.024604
                  93,            0.077509,            0.070088,                   0,             0.42869,             0.51546,             0.41521,              0.1276,             0.08037,            0.093192,                   0,           0.0082889,           0.0082889,            0.023789
                  94,            0.079643,            0.074204,                   0,             0.47645,             0.43299,             0.38591,             0.09983,            0.081334,            0.081411,                   0,           0.0083736,           0.0083736,            0.022974
                  95,             0.08485,            0.075472,                   0,             0.47645,             0.43299,             0.38591,             0.09983,            0.081334,            0.081411,                   0,           0.0084583,           0.0084583,            0.022158
                  96,            0.086012,            0.059797,                   0,             0.39609,             0.45361,             0.37004,            0.093446,            0.084195,            0.074573,                   0,           0.0085429,           0.0085429,            0.021343
                  97,            0.085384,            0.064101,                   0,             0.41296,             0.51546,             0.42609,             0.12237,            0.076181,            0.079992,                   0,           0.0086273,           0.0086273,            0.020527
                  98,            0.081822,            0.069834,                   0,             0.41296,             0.51546,             0.42609,             0.12237,            0.076181,            0.079992,                   0,           0.0087117,           0.0087117,            0.019712
                  99,            0.078939,              0.0572,                   0,             0.46693,              0.4433,             0.43443,             0.11579,            0.078101,            0.085525,                   0,           0.0087959,           0.0087959,            0.018896
                 100,            0.077128,            0.066627,                   0,               0.435,             0.38099,             0.35244,             0.10271,            0.081143,            0.094859,                   0,             0.00888,             0.00888,             0.01808
                 101,            0.075499,            0.069413,                   0,               0.435,             0.38099,             0.35244,             0.10271,            0.081143,            0.094859,                   0,            0.008964,            0.008964,            0.017264
                 102,            0.071346,            0.084772,                   0,             0.43439,             0.54639,             0.43276,             0.12776,            0.069368,            0.094867,                   0,           0.0090479,           0.0090479,            0.016448
                 103,            0.064612,            0.072481,                   0,             0.43439,             0.54639,             0.43276,             0.12776,            0.069368,            0.094867,                   0,           0.0091316,           0.0091316,            0.015632
                 104,            0.065368,            0.078901,                   0,             0.52674,             0.49485,             0.45502,             0.13736,            0.071118,            0.099561,                   0,           0.0092153,           0.0092153,            0.014815
                 105,            0.065407,            0.075901,                   0,             0.63417,             0.36082,             0.43465,             0.11689,            0.077828,            0.095935,                   0,           0.0092988,           0.0092988,            0.013999
                 106,            0.074159,            0.076856,                   0,             0.63417,             0.36082,             0.43465,             0.11689,            0.077828,            0.095935,                   0,           0.0093822,           0.0093822,            0.013182
                 107,             0.07151,            0.085006,                   0,             0.35037,             0.47264,             0.31336,             0.09202,            0.069098,            0.089981,                   0,           0.0094654,           0.0094654,            0.012365
                 108,            0.071937,            0.083459,                   0,             0.35037,             0.47264,             0.31336,             0.09202,            0.069098,            0.089981,                   0,           0.0095486,           0.0095486,            0.011549
                 109,            0.067237,            0.090293,                   0,             0.41849,             0.50515,             0.39265,             0.10209,            0.064384,            0.094311,                   0,           0.0096316,           0.0096316,            0.010732
                 110,            0.060159,            0.091966,                   0,             0.41849,             0.50515,             0.39265,             0.10209,            0.064384,            0.094311,                   0,           0.0097145,           0.0097145,           0.0099145
                 111,            0.060001,            0.072735,                   0,             0.50941,             0.55665,              0.4289,             0.14083,            0.061942,             0.08589,                   0,           0.0097292,           0.0097292,           0.0097292
                 112,            0.057776,            0.080802,                   0,             0.50941,             0.55665,              0.4289,             0.14083,            0.061942,             0.08589,                   0,           0.0097292,           0.0097292,           0.0097292
                 113,            0.059938,            0.072907,                   0,             0.45935,             0.52577,             0.36065,               0.117,             0.06552,             0.08138,                   0,           0.0097243,           0.0097243,           0.0097243
                 114,            0.061041,            0.076488,                   0,             0.33285,             0.45361,             0.31822,             0.10166,            0.067522,             0.10067,                   0,           0.0097194,           0.0097194,           0.0097194
                 115,            0.070191,            0.075569,                   0,             0.33285,             0.45361,             0.31822,             0.10166,            0.067522,             0.10067,                   0,           0.0097145,           0.0097145,           0.0097145
                 116,            0.066143,            0.082209,                   0,             0.39254,             0.56701,             0.43668,             0.14231,            0.067316,            0.094762,                   0,           0.0097095,           0.0097095,           0.0097095
                 117,             0.06299,            0.061708,                   0,             0.39254,             0.56701,             0.43668,             0.14231,            0.067316,            0.094762,                   0,           0.0097045,           0.0097045,           0.0097045
                 118,            0.057758,            0.094515,                   0,             0.60056,             0.51152,             0.49291,              0.1541,            0.058976,            0.095389,                   0,           0.0096994,           0.0096994,           0.0096994
                 119,            0.052412,            0.083037,                   0,             0.60056,             0.51152,             0.49291,              0.1541,            0.058976,            0.095389,                   0,           0.0096943,           0.0096943,           0.0096943
                 120,            0.054237,            0.071433,                   0,             0.59643,              0.4433,              0.4908,             0.14224,            0.058746,            0.098949,                   0,           0.0096892,           0.0096892,           0.0096892
                 121,            0.053543,              0.0865,                   0,             0.28716,             0.43191,             0.27161,            0.073916,            0.075181,            0.089549,                   0,            0.009684,            0.009684,            0.009684
                 122,            0.073306,            0.069201,                   0,             0.28716,             0.43191,             0.27161,            0.073916,            0.075181,            0.089549,                   0,           0.0096788,           0.0096788,           0.0096788
                 123,            0.070162,            0.071671,                   0,             0.32718,             0.38144,             0.33103,            0.085834,            0.070957,             0.10577,                   0,           0.0096735,           0.0096735,           0.0096735
                 124,            0.065859,            0.083639,                   0,             0.32718,             0.38144,             0.33103,            0.085834,            0.070957,             0.10577,                   0,           0.0096682,           0.0096682,           0.0096682
                 125,             0.06229,            0.083124,                   0,             0.42816,             0.40206,             0.38037,             0.10615,            0.065989,             0.10408,                   0,           0.0096628,           0.0096628,           0.0096628
                 126,            0.056643,             0.07897,                   0,             0.42816,             0.40206,             0.38037,             0.10615,            0.065989,             0.10408,                   0,           0.0096575,           0.0096575,           0.0096575
                 127,            0.053274,            0.077759,                   0,             0.39848,             0.54636,             0.40082,             0.12779,            0.060115,            0.093865,                   0,            0.009652,            0.009652,            0.009652
                 128,            0.052589,            0.072086,                   0,             0.39848,             0.54636,             0.40082,             0.12779,            0.060115,            0.093865,                   0,           0.0096466,           0.0096466,           0.0096466
                 129,            0.052609,             0.08878,                   0,              0.5651,             0.40187,             0.43142,             0.13496,            0.060875,            0.088339,                   0,            0.009641,            0.009641,            0.009641
                 130,            0.056134,            0.071193,                   0,             0.52933,             0.37102,             0.39394,             0.12667,            0.060524,             0.10111,                   0,           0.0096355,           0.0096355,           0.0096355
                 131,            0.061568,            0.078642,                   0,             0.52933,             0.37102,             0.39394,             0.12667,            0.060524,             0.10111,                   0,           0.0096299,           0.0096299,           0.0096299
