               epoch,      train_box_loss,      train_obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
41,0.11537,0.079809,0,0.054489,0.019231,0.0025967,0.00051933,0.11921,0.1232,0,0.00040932,0.00040932,0.096309
42,0.11739,0.10934,0,0.054489,0.019231,0.0025967,0.00051933,0.11921,0.1232,0,0.00041927,0.00041927,0.096219
43,0.11178,0.076313,0,0.051029,0.019231,0.0034464,0.0010339,0.11917,0.12304,0,0.00042922,0.00042922,0.096129
44,0.11699,0.11526,0,0.051029,0.019231,0.0034464,0.0010339,0.11917,0.12304,0,0.00043916,0.00043916,0.096039
45,0.11013,0.078313,0,0.032889,0.019231,0.0022403,0.00067208,0.11923,0.12266,0,0.0004491,0.0004491,0.095949
46,0.11411,0.082671,0,0.032889,0.019231,0.0022403,0.00067208,0.11923,0.12266,0,0.00045904,0.00045904,0.095859
47,0.11361,0.10695,0,0.022706,0.019231,0.0029621,0.00071518,0.11929,0.12219,0,0.00046898,0.00046898,0.095769
48,0.11593,0.11935,0,0.022706,0.019231,0.0029621,0.00071518,0.11929,0.12219,0,0.00047891,0.00047891,0.095679
49,0.11586,0.087312,0,0.019474,0.019231,0.0020611,0.00061833,0.11918,0.12214,0,0.00048884,0.00048884,0.095589
50,0.11524,0.083255,0,0.019474,0.019231,0.0020611,0.00061833,0.11918,0.12214,0,0.00049877,0.00049877,0.095499
51,0.11594,0.060333,0,0.018018,0.019231,0.002897,0.00077029,0.11904,0.12211,0,0.00050869,0.00050869,0.095409
52,0.11437,0.1162,0,0.018018,0.019231,0.002897,0.00077029,0.11904,0.12211,0,0.00051861,0.00051861,0.095319
53,0.1188,0.11372,0,0.013443,0.019231,0.0028087,0.00092862,0.11902,0.12201,0,0.00052853,0.00052853,0.095229
54,0.1153,0.097864,0,0.013443,0.019231,0.0028087,0.00092862,0.11902,0.12201,0,0.00053845,0.00053845,0.095138
55,0.11997,0.085898,0,0.018411,0.019231,0.0039243,0.0010661,0.11915,0.12176,0,0.00054836,0.00054836,0.095048
56,0.11651,0.099086,0,0.018411,0.019231,0.0039243,0.0010661,0.11915,0.12176,0,0.00055827,0.00055827,0.094958
57,0.11422,0.095407,0,0.016769,0.019231,0.0038514,0.0010486,0.11913,0.12177,0,0.00056817,0.00056817,0.094868
58,0.11593,0.10259,0,0.016769,0.019231,0.0038514,0.0010486,0.11913,0.12177,0,0.00057808,0.00057808,0.094778
59,0.11518,0.10294,0,0.0094879,0.076923,0.0038988,0.0010509,0.11901,0.12193,0,0.00058798,0.00058798,0.094688
60,0.11803,0.098067,0,0.0094879,0.076923,0.0038988,0.0010509,0.11901,0.12193,0,0.00059787,0.00059787,0.094598
61,0.11696,0.12215,0,0.01082,0.038462,0.0038281,0.0010293,0.11882,0.1221,0,0.00060776,0.00060776,0.094508
62,0.1189,0.10098,0,0.01082,0.038462,0.0038281,0.0010293,0.11882,0.1221,0,0.00061765,0.00061765,0.094418
63,0.11095,0.10344,0,0.0077402,0.057692,0.0028268,0.0006541,0.11865,0.12237,0,0.00062754,0.00062754,0.094328
64,0.11212,0.098611,0,0.0077402,0.057692,0.0028268,0.0006541,0.11865,0.12237,0,0.00063742,0.00063742,0.094237
65,0.11682,0.11892,0,0.0080887,0.076923,0.0037433,0.0010862,0.1186,0.12246,0,0.00064729,0.00064729,0.094147
66,0.11445,0.10402,0,0.0080887,0.076923,0.0037433,0.0010862,0.1186,0.12246,0,0.00065717,0.00065717,0.094057
67,0.10783,0.10132,0,0.0062662,0.057692,0.0027279,0.0007222,0.11845,0.12292,0,0.00066704,0.00066704,0.093967
